ID;BESTLOC;GRAMS;portion;EUFDNAME
57;0;8;0;F22D6N3
57;63.0341;8;5.042728;FACIDCTG
57;60.262;8;4.82096;FAFRE
57;24.548;8;1.96384;FAMCIS
57;20.577;8;1.64616;FAPU
57;0.017;8;0.00136;FAPUN3
57;7.782;8;0.62256;FAPUN6
57;5.794;8;0.46352;FAS18
57;15.137;8;1.21096;FASAT
57;66.43;8;5.3144;FAT
57;0;8;0;FATRN
57;2.43;8;0.1944;FE
57;7.5;8;0.6;FIBC
57;1.4;8;0.112;FIBINS
57;7.5;8;0.6;FIBT
57;22;8;1;FOL
57;0;8;0;FRUS
57;0;8;0;GLUS
57;20;8;1;ID
57;659;8;52;K
57;0;8;0;LACS
57;0;8;0;MALS
57;376;8;30;MG
57;1.223;8;0.09784;MN
57;3;8;0;NA
57;7.64;8;0.6112;NACL
57;0.295;8;0.0236;NIA
57;0.295;8;0.0236;NIAEQ
57;2.61;8;0.2088;NT
57;0;8;0;OA
57;725;8;58;P
57;14.32;8;1.1456;PROT
57;1.3;8;0.104;PSACNCS
57;0;8;0;RETOL
57;0.035;8;0.0028;RIBF
57;1917;8;153;SE
57;0.25;8;0.02;STARCH
57;2.33;8;0.1864;SUCS
57;2.33;8;0.1864;SUGAR
57;0.617;8;0.04936;THIA
57;3;8;0;TRP
57;0;8;0;VITA
57;0;8;0;VITB12
57;0.7;8;0.056;VITC
57;0;8;0;VITD
57;0.9;8;0.072;VITE
57;0;8;0;VITK
57;0.101;8;0.00808;VITPYRID
57;3.48;8;0.2784;WATER
57;4.06;8;0.3248;ZN
61;0;50;0;ALC
61;0.3;50;0.15;ASH
61;8;50;4;CA
61;1290;50;645;CAROTENS
61;1290;50;645;CARTB
61;16;50;8;CHOAVL
61;18;50;9;CHOCDF
61;0;50;0;CHOLE
61;0.113;50;0.0565;CU
61;305.6;50;152.8;ENERC
61;0;50;0;F16D0T
61;0;50;0;F18D1T
61;0;50;0;F18D2CN6
61;0;50;0;F18D3N3
61;0;50;0;F20D4N6
61;0;50;0;F20D5N3
61;0;50;0;F22D6N3
61;0;50;0;FACIDCTG
61;0;50;0;FAFRE
61;0;50;0;FAMCIS
61;0;50;0;FAPU
61;0;50;0;FAPUN3
61;0;50;0;FAPUN6
61;0;50;0;FAS18
61;0;50;0;FASAT
61;0.2;50;0.1;FAT
61;0;50;0;FATRN
61;0.2;50;0.1;FE
61;2;50;1;FIBC
61;8;50;4;FOL
61;7.5;50;3.75;FRUS
61;7.5;50;3.75;GLUS
61;161;50;80;K
61;0;50;0;LACS
61;0;50;0;MALS
61;9;50;4;MG
61;0.355;50;0.1775;MN
61;1;50;0;NA
61;2.55;50;1.275;NACL
61;0.1;50;0.05;NIA
61;0.2;50;0.1;NIAEQ
61;17;50;8;P
61;0.6;50;0.3;PROT
61;0;50;0;RETOL
61;0.02;50;0.01;RIBF
61;1;50;0;SE
61;0;50;0;STARCH
61;1;50;0;SUCS
61;16;50;8;SUGAR
61;0.03;50;0.015;THIA
61;12;50;6;TRP
61;107.07;50;53.535;VITA
61;0;50;0;VITB12
61;8;50;4;VITC
61;0;50;0;VITD
61;0;50;0;VITE
61;2.6;50;1.3;VITK
61;0.02;50;0.01;VITPYRID
61;80.9;50;40.45;WATER
61;0.1;50;0.05;ZN
76;0;4;0;ALC
76;1.9;4;0.076;ASH
76;140;4;5;CA
76;21;4;0;CAROTENS
76;12;4;0;CARTB
76;3.2;4;0.128;CHOAVL
76;9.9;4;0.396;CHOCDF
76;0;4;0;CHOLE
76;14;4;0;CR
76;1.4;4;0.056;CU
76;2779.68;4;111.1872;ENERC
76;4404;4;176;F16D0T
76;8799;4;351;F18D1T
76;38093;4;1523;F18D2CN6
76;9080;4;363;F18D3N3
76;0;4;0;F20D4N6
76;0;4;0;F20D5N3
76;0;4;0;F22D6N3
76;65.0947;4;2.603788;FACIDCTG
76;62.232;4;2.48928;FAFRE
76;8.933;4;0.35732;FAMCIS
76;47.173;4;1.88692;FAPU
76;9.08;4;0.3632;FAPUN3
76;38.093;4;1.52372;FAPUN6
76;1.659;4;0.06636;FAS18
76;6.126;4;0.24504;FASAT
76;65.21;4;2.6084;FAT
76;0;4;0;FATRN
76;0.1;4;0.004;FD
76;3.6;4;0.144;FE
76;6.7;4;0.268;FIBC
76;5;4;0;FIBINS
76;5.2;4;0.208;FIBT
76;66;4;2;FOL
76;0.2;4;0.008;FRUS
76;0.2;4;0.008;GLUS
76;5;4;0;ID
76;650;4;26;K
76;0;4;0;LACS
76;0;4;0;MALS
76;160;4;6;MG
76;7.22;4;0.2888;MN
76;0.01;4;0.0004;MO
76;0;4;0;MYRIC
76;1;4;0;NA
76;2.55;4;0.102;NACL
76;1.2;4;0.048;NIA
76;4.039;4;0.16156;NIAEQ
76;2.7;4;0.108;NT
76;310;4;12;P
76;15.23;4;0.6092;PROT
76;0.2;4;0.008;PSACNCS
76;0;4;0;QUERCE
76;0;4;0;RETOL
76;0.13;4;0.0052;RIBF
76;19;4;0;SE
76;0.6;4;0.024;STARCH
76;117.6;4;4.704;STERT
76;2.2;4;0.088;SUCS
76;2.6;4;0.104;SUGAR
76;0;4;0;SUGOH
76;0.5;4;0.02;THIA
76;170;4;6;TRP
76;1;4;0;VITA
76;0;4;0;VITB12
76;3;4;0;VITC
76;0;4;0;VITD
76;0.7;4;0.028;VITE
76;13;4;0;VITK
76;0.73;4;0.0292;VITPYRID
76;7.76;4;0.3104;WATER
76;2;4;0;ZN
135;0;45;0;ALC
135;0.4;45;0.18;ASH
135;14.7;45;6.615;CA
135;612.3;45;275.535;CAROTENS
135;131.5;45;59.175;CARTB
135;1.4;45;0.63;CHOAVL
135;3.812;45;1.7154;CHOCDF
135;0;45;0;CHOLE
135;0.3;45;0.135;CR
135;0.027;45;0.01215;CU
135;47.27;45;21.2715;ENERC
135;14.493;45;6.52185;F16D0T
135;1.297;45;0.58365;F18D1T
135;14.953;45;6.72885;F18D2CN6
135;26.217;45;11.79765;F18D3N3
135;0;45;0;F20D4N6
135;0;45;0;F20D5N3
